payment_year,diagnosis_code,age_at_diag_min,age_at_diag_max,age_last_min,age_last_max,sex,hhs_hcc
2023,D595,NA,NA,NA,NA,NA,69
2023,D596,NA,NA,NA,NA,NA,69
2023,D598,NA,NA,NA,NA,NA,69
2023,D599,NA,NA,NA,NA,NA,69
2023,D600,NA,NA,NA,NA,NA,68
2023,D601,NA,NA,NA,NA,NA,68
2023,D608,NA,NA,NA,NA,NA,68
2023,D609,NA,NA,NA,NA,NA,68
2023,D6101,NA,NA,NA,NA,NA,68
2023,D6109,NA,NA,NA,NA,NA,68
2023,D611,NA,NA,NA,NA,NA,68
2023,D612,NA,NA,NA,NA,NA,68
2023,D613,NA,NA,NA,NA,NA,68
2023,D6182,NA,NA,NA,NA,NA,68
2023,D6189,NA,NA,NA,NA,NA,68
2023,D619,NA,NA,NA,NA,NA,68
2023,D640,NA,NA,NA,NA,NA,75
2023,D641,NA,NA,NA,NA,NA,75
2023,D642,NA,NA,NA,NA,NA,75
2023,D643,NA,NA,NA,NA,NA,75
2023,D65,NA,NA,NA,NA,NA,75
2023,D66,NA,NA,NA,NA,male,66
2023,D66,NA,NA,NA,NA,female,75
2023,D67,NA,NA,NA,NA,male,66
2023,D67,NA,NA,NA,NA,female,75
2023,D6800,NA,NA,NA,NA,NA,75
2023,D6801,NA,NA,NA,NA,NA,75
2023,D68020,NA,NA,NA,NA,NA,75
2023,D68021,NA,NA,NA,NA,NA,75
2023,D68022,NA,NA,NA,NA,NA,75
2023,D68023,NA,NA,NA,NA,NA,75
2023,D68029,NA,NA,NA,NA,NA,75
2023,D6803,NA,NA,NA,NA,NA,75
2023,D6804,NA,NA,NA,NA,NA,75
2023,D6809,NA,NA,NA,NA,NA,75
2023,D681,NA,NA,NA,NA,NA,75
2023,D682,NA,NA,NA,NA,NA,75
2023,D68311,NA,NA,NA,NA,NA,75
2023,D68312,NA,NA,NA,NA,NA,75
2023,D68318,NA,NA,NA,NA,NA,75
2023,D6832,NA,NA,NA,NA,NA,75
2023,D684,NA,NA,NA,NA,NA,75
2023,D6851,NA,NA,NA,NA,NA,75
2023,D6852,NA,NA,NA,NA,NA,75
2023,D6859,NA,NA,NA,NA,NA,75
2023,D6861,NA,NA,NA,NA,NA,75
2023,D6862,NA,NA,NA,NA,NA,75
2023,D6869,NA,NA,NA,NA,NA,75
2023,D688,NA,NA,NA,NA,NA,75
2023,D689,NA,NA,NA,NA,NA,75
2023,D691,NA,NA,NA,NA,NA,75
2023,D693,NA,NA,NA,NA,NA,75
2023,D6941,NA,NA,NA,NA,NA,75
2023,D6942,NA,NA,NA,NA,NA,75
2023,D6949,NA,NA,NA,NA,NA,75
2023,D700,NA,NA,NA,NA,NA,74
2023,D704,NA,NA,NA,NA,NA,74
2023,D71,NA,NA,NA,NA,NA,74
2023,D720,NA,NA,NA,NA,NA,74
2023,D7581,NA,NA,NA,NA,NA,67
2023,D75821,NA,NA,NA,NA,NA,75
2023,D75822,NA,NA,NA,NA,NA,75
2023,D75828,NA,NA,NA,NA,NA,75
2023,D75829,NA,NA,NA,NA,NA,75
