payment_year,hcpcs_cpt_code,included_flag
2023,21320,yes
2023,21325,yes
2023,21330,yes
2023,21335,yes
2023,21336,yes
2023,21337,yes
2023,21338,yes
2023,21339,yes
2023,21340,yes
2023,21343,yes
2023,21344,yes
2023,21345,yes
2023,21346,yes
2023,21347,yes
2023,21348,yes
2023,21355,yes
2023,21356,yes
2023,21360,yes
2023,21365,yes
2023,21366,yes
2023,21385,yes
2023,21386,yes
2023,21387,yes
2023,21390,yes
2023,21395,yes
2023,21400,yes
2023,21401,yes
2023,21406,yes
2023,21407,yes
2023,21408,yes
2023,21421,yes
2023,21422,yes
2023,21423,yes
2023,21431,yes
2023,21432,yes
2023,21433,yes
2023,21435,yes
2023,21436,yes
2023,21440,yes
2023,21445,yes
2023,21450,yes
2023,21451,yes
2023,21452,yes
2023,21453,yes
2023,21454,yes
2023,21461,yes
2023,21462,yes
2023,21465,yes
2023,21470,yes
2023,21480,yes
2023,21485,yes
2023,21490,yes
2023,21497,yes
2023,21499,yes
2023,21501,yes
2023,21502,yes
2023,21510,yes
2023,21552,yes
2023,21554,yes
2023,21555,yes
2023,21556,yes
2023,21557,yes
2023,21558,yes
2023,21600,yes
2023,21601,yes
2023,21602,yes
2023,21603,yes
2023,21610,yes
2023,21615,yes
2023,21616,yes
2023,21620,yes
2023,21627,yes
2023,21630,yes
2023,21632,yes
2023,21685,yes
2023,21700,yes
2023,21705,yes
2023,21720,yes
2023,21725,yes
2023,21740,yes
2023,21742,yes
2023,21743,yes
2023,21750,yes
2023,21811,yes
2023,21812,yes
2023,21813,yes
2023,21820,yes
2023,21825,yes
2023,21899,yes
2023,21930,yes
2023,21931,yes
2023,21932,yes
2023,21933,yes
2023,21935,yes
2023,21936,yes
2023,22010,yes
2023,22015,yes
2023,22100,yes
2023,22101,yes
2023,22102,yes
2023,22110,yes
2023,22112,yes
2023,22114,yes
2023,22206,yes
2023,22207,yes
2023,22210,yes
2023,22212,yes
2023,22214,yes
2023,22220,yes
2023,22222,yes
2023,22224,yes
2023,22310,yes
2023,22315,yes
2023,22318,yes
2023,22319,yes
2023,22325,yes
2023,22326,yes
2023,22327,yes
2023,22505,yes
2023,22510,yes
2023,22511,yes
2023,22513,yes
2023,22514,yes
2023,22526,yes
2023,22532,yes
2023,22533,yes
2023,22548,yes
2023,22551,yes
2023,22554,yes
2023,22556,yes
2023,22558,yes
2023,22586,yes
2023,22590,yes
2023,22595,yes
2023,22600,yes
2023,22610,yes
2023,22612,yes
2023,22630,yes
2023,22633,yes
2023,22800,yes
2023,22802,yes
2023,22804,yes
2023,22808,yes
2023,22810,yes
2023,22812,yes
2023,22818,yes
2023,22819,yes
2023,22830,yes
2023,22849,yes
2023,22850,yes
2023,22852,yes
2023,22855,yes
2023,22856,yes
2023,22857,yes
2023,22861,yes
2023,22862,yes
2023,22864,yes
2023,22865,yes
2023,22867,yes
2023,22869,yes
2023,22899,yes
2023,22900,yes
2023,22901,yes
2023,22902,yes
2023,22903,yes
2023,22904,yes
2023,22905,yes
2023,22999,yes
2023,23000,yes
2023,23020,yes
2023,23030,yes
2023,23031,yes
2023,23035,yes
2023,23040,yes
2023,23044,yes
2023,23071,yes
2023,23073,yes
2023,23075,yes
2023,23076,yes
2023,23077,yes
2023,23078,yes
2023,23100,yes
2023,23101,yes
2023,23105,yes
2023,23106,yes
2023,23107,yes
2023,23120,yes
2023,23125,yes
2023,23130,yes
2023,23140,yes
2023,23145,yes
2023,23146,yes
2023,23150,yes
2023,23155,yes
2023,23156,yes
2023,23170,yes
2023,23172,yes
2023,23174,yes
2023,23180,yes
2023,23182,yes
